68784 : ['1025 Business Instructional Facn.a.', '09:30AM - 10:50AM160004:00PM - 04:50PM', 'MW     M']
68785 : ['1025 Business Instructional Facn.a.', '11:00AM - 12:20PM160004:00PM - 04:50PM', 'MW     M']
68786 : ['2063 Business Instructional Facn.a.', '12:30PM - 01:50PM180006:00PM - 06:50PM', 'MW     M']
68787 : ['2063 Business Instructional Facn.a.', '02:00PM - 03:20PM180006:00PM - 06:50PM', 'MW     M']
70665 : ['2063 Business Instructional Facn.a.', '03:30PM - 04:50PM180006:00PM - 06:50PM', 'MW     M']
71909 : ['1025 Business Instructional Facn.a.', '08:00AM - 09:20AM170005:00PM - 05:50PM', 'MW     M']
66737 : ['n.a.2011 Business Instructional Fac', '05:00PM - 05:50PM080008:00AM - 09:20AM', 'M      TR']
70666 : ['n.a.n.a.', '08:00AM - 09:20AM160004:00PM - 04:50PM', 'MW     M']
71508 : ['n.a.n.a.', '05:00PM - 05:50PM080008:00AM - 09:20AM', 'M      TR']
74620 : ['2005 Business Instructional Fac', '08:00AM - 09:20AM', 'MW']
76284 : ['n.a.', '08:00AM - 09:20AM', 'MW']
73609 : ['n.a.', 'ARRANGED', 'n.a.']
73610 : ['n.a.', 'ARRANGED', 'n.a.']
73611 : ['n.a.', 'ARRANGED', 'n.a.']
73613 : ['n.a.', 'ARRANGED', 'n.a.']
76635 : ['Location Pending', 'ARRANGED', 'n.a.']
76138 : ['Location Pending', 'ARRANGED', 'n.a.']
29682 : ['ARR Business Instructional Fac', '01:00PM - 04:50PM', 'F']
10041 : ['n.a.', 'ARRANGED', 'n.a.']
36850 : ['Location Pending', 'ARRANGED', 'n.a.']
75945 : ['n.a.', 'ARRANGED', 'n.a.']
75900 : ['n.a.', 'ARRANGED', 'n.a.']
42664 : ['Location Pending', 'ARRANGED', 'n.a.']
36846 : ['Location Pending', 'ARRANGED', 'n.a.']
29686 : ['3009 Business Instructional Fac', '08:00AM - 11:50AM', 'F']
72693 : ['2063 Business Instructional Fac', '01:00PM - 04:50PM', 'F']
76689 : ['n.a.', '04:00PM - 04:50PM', 'W']
76237 : ['3003 Business Instructional Fac', '04:00PM - 04:50PM', 'W']
36724 : ['426 Mumford Hall', '01:00PM - 01:50PM', 'R']
36726 : ['426 Mumford Hall', '02:00PM - 02:50PM', 'R']
36732 : ['426 Mumford Hall', '09:00AM - 09:50AM', 'F']
36734 : ['426 Mumford Hall', '10:00AM - 10:50AM', 'F']
36735 : ['426 Mumford Hall', '11:00AM - 11:50AM', 'F']
56843 : ['242 Bevier Hall', '01:00PM - 01:50PM', 'F']
36722 : ['n.a.', '09:30AM - 10:50AM', 'TR']
39708 : ['29\\/30 ACES Lib, Info & Alum Ctr', '10:00AM - 11:50AM', 'W']
36736 : ['29\\/30 ACES Lib, Info & Alum Ctr', '10:00AM - 11:50AM', 'M']
36747 : ['29\\/30 ACES Lib, Info & Alum Ctr', '01:00PM - 02:50PM', 'F']
36751 : ['n.a.', 'ARRANGED', 'n.a.']
36742 : ['n.a.', '01:00PM - 02:50PM', 'T']
